id,slug,name,color,created_at
132,react,react,#2E78E5,2026-05-22T10:30:00+00:00
133,forms,forms,#2E78E5,2026-05-22T10:30:00+00:00
134,state,state,#2E78E5,2026-05-22T10:30:00+00:00
135,accessibility,accessibility,#2E78E5,2026-05-22T10:30:00+00:00
136,django,django,#2E78E5,2026-05-22T10:30:00+00:00
137,search,search,#2E78E5,2026-05-22T10:30:00+00:00
138,timezones,timezones,#2E78E5,2026-05-22T10:30:00+00:00
139,documentation,documentation,#2E78E5,2026-05-22T10:30:00+00:00
140,security,security,#2E78E5,2026-05-22T10:30:00+00:00
141,open-source,open-source,#2E78E5,2026-05-22T10:30:00+00:00
142,git,git,#2E78E5,2026-05-22T10:30:00+00:00
143,research,research,#2E78E5,2026-05-22T10:30:00+00:00
144,data,data,#2E78E5,2026-05-22T10:30:00+00:00
145,flutter,flutter,#2E78E5,2026-05-22T10:30:00+00:00
146,mobile,mobile,#2E78E5,2026-05-22T10:30:00+00:00
147,prototyping,prototyping,#2E78E5,2026-05-22T10:30:00+00:00
148,scope,scope,#2E78E5,2026-05-22T10:30:00+00:00
149,machine-learning,machine-learning,#2E78E5,2026-05-22T10:30:00+00:00
150,figma,figma,#2E78E5,2026-05-22T10:30:00+00:00
151,design,design,#2E78E5,2026-05-22T10:30:00+00:00
152,debugging,debugging,#2E78E5,2026-05-22T10:30:00+00:00
153,business,business,#2E78E5,2026-05-22T10:30:00+00:00
154,data-modeling,data-modeling,#2E78E5,2026-05-22T10:30:00+00:00
155,charts,charts,#2E78E5,2026-05-22T10:30:00+00:00
156,sql,sql,#2E78E5,2026-05-22T10:30:00+00:00
157,teamwork,teamwork,#2E78E5,2026-05-22T10:30:00+00:00
158,ethics,ethics,#2E78E5,2026-05-22T10:30:00+00:00
159,deployment,deployment,#2E78E5,2026-05-22T10:30:00+00:00
160,python,python,#2E78E5,2026-05-22T10:30:00+00:00
161,user-research,user-research,#2E78E5,2026-05-22T10:30:00+00:00
162,localization,localization,#2E78E5,2026-05-22T10:30:00+00:00
163,qgis,qgis,#2E78E5,2026-05-22T10:30:00+00:00
164,concurrency,concurrency,#2E78E5,2026-05-22T10:30:00+00:00
165,statistics,statistics,#2E78E5,2026-05-22T10:30:00+00:00
166,presentations,presentations,#2E78E5,2026-05-22T10:30:00+00:00
167,browser,browser,#2E78E5,2026-05-22T10:30:00+00:00
168,privacy,privacy,#2E78E5,2026-05-22T10:30:00+00:00
169,linux,linux,#2E78E5,2026-05-22T10:30:00+00:00
170,blender,blender,#2E78E5,2026-05-22T10:30:00+00:00
171,performance,performance,#2E78E5,2026-05-22T10:30:00+00:00
172,mentorship,mentorship,#2E78E5,2026-05-22T10:30:00+00:00
173,review,review,#2E78E5,2026-05-22T10:30:00+00:00
174,images,images,#2E78E5,2026-05-22T10:30:00+00:00
175,college,college,#2E78E5,2026-05-22T10:30:00+00:00
176,apis,apis,#2E78E5,2026-05-22T10:30:00+00:00
177,writing,writing,#2E78E5,2026-05-22T10:30:00+00:00
178,sync,sync,#2E78E5,2026-05-22T10:30:00+00:00
179,reflection,reflection,#2E78E5,2026-05-22T10:30:00+00:00
180,maps,maps,#2E78E5,2026-05-22T10:30:00+00:00
181,notifications,notifications,#2E78E5,2026-05-22T10:30:00+00:00
182,skills,skills,#2E78E5,2026-05-22T10:30:00+00:00
