thread_id,tag_id
114,132
114,133
115,132
115,134
116,135
116,7
117,136
117,16
118,137
118,24
119,17
119,138
120,19
120,139
121,140
121,17
122,141
122,142
123,13
123,3
124,143
124,144
125,145
125,146
126,7
126,2
127,147
127,148
128,142
128,2
129,149
129,143
130,150
130,151
131,11
131,152
132,153
132,154
133,135
133,155
134,156
134,11
135,157
135,3
136,19
136,158
137,140
137,159
138,149
138,160
139,7
139,13
140,161
140,24
141,144
141,160
142,13
142,157
143,151
143,19
144,162
144,24
145,163
145,144
146,28
146,24
147,17
147,164
148,141
148,11
149,135
149,3
150,136
150,4
151,143
151,165
152,166
152,13
153,167
153,168
154,169
154,11
155,153
155,2
156,143
156,148
157,170
157,171
158,172
158,173
159,17
159,11
160,13
160,24
161,146
161,174
162,3
162,175
163,140
163,176
164,153
164,148
165,151
165,15
166,156
166,16
167,177
167,11
168,146
168,178
169,19
169,179
170,180
170,143
171,160
171,11
172,181
172,24
173,182
173,19
174,13
174,175
175,13
175,139
175,175
176,13
176,3
176,143
